,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
39,L6 IT Car3_1,902,0.665,0.532,0.7093333333,72535,109,234,266,1,['LINC00348'],1.0,"['LINC00348', 'IL7R', 'ANXA1', 'SMYD1', 'PPP1R1A', 'POSTN', 'NR4A2', 'OLFML2B', 'THEMIS', 'GFRA1']",y39bi2x5bsas
40,L6 IT Car3_2,25714,0.6594036697,0.46,0.7395498392,72563,81,270,230,2,"['SMYD1', 'ITGB8']",0.2856354117,"['SMYD1', 'NTNG2', 'POSTN', 'OLFML2B', 'ITGB8', 'NWD2', 'CA10', 'TRPC5', 'ARNTL2', 'SATB2']",88gc446cb1rg
41,L6 IT_1,3609,0.6710122699,0.35,0.8706467662,72618,26,325,175,3,"['THEMIS', 'HOPX', 'MKX']",0.07479213923,"['ISLR', 'IGFBP2', 'LINC00507', 'THEMIS', 'HOPX', 'MKX', 'LINC00299', 'TPD52L1', 'DIRAS2', 'NRGN']",hp1nty974nxw
42,L6 IT_2,62845,0.5810546875,0.238,0.9083969466,72632,12,381,119,3,"['LINC00343', 'ADAMTS3', 'PXDN']",0.2752422094,"['LINC00343', 'ADAMTS3', 'THEMIS', 'TMEM233', 'PXDN', 'MOXD1', 'LY86-AS1', 'SEC24D', 'FRMD6', 'SLIT3']",s3bk3y9nv3eh
43,L6b_1,1693,0.5724637681,0.316,0.7181818182,72582,62,342,158,3,"['SEMA3D', 'ITGA11', 'FAM160A1']",0.1302433014,"['MDFIC', 'ROS1', 'SEMA3D', 'DCBLD1', 'ITGA11', 'FAM160A1', 'SEMA3A', 'DACH1', 'EPB41L4A', 'TPD52L1']",g7b324oyiev5
44,L6b_2,15241,0.5657114625,0.458,0.6010498688,72492,152,271,229,2,"['NPFFR2', 'ROS1']",0.2461125255,"['LRAT', 'NPFFR2', 'ZNF503', 'MDFIC', 'ROS1', 'OLFML2B', 'SEMA3D', 'SEMA3E', 'ZFHX3', 'ZBTB7C']",lde1igzm3imn
45,L6b_3,721,0.6928969359,0.398,0.8504273504,72609,35,301,199,2,"['SLC15A5', 'ATP10A']",0.3286720216,"['SCUBE1', 'COLEC10', 'SLC15A5', 'PIK3C2G', 'KCNK13', 'ATP10A', 'CCBE1', 'HCRTR2', 'VCAN', 'ADAMTSL1']",hou7iy6ggbeq
46,L6b_4,2830,0.5812101911,0.292,0.7724867725,72601,43,354,146,2,"['NR4A2', 'ATP8B4']",0.1567029804,"['MDFIC', 'NR4A2', 'OLFML2B', 'ATP8B4', 'NPNT', 'CALCRL', 'ERG', 'RNF220', 'SEMA3C', 'HS3ST4']",i4zr6xs9kcjp
47,L6b_5,451,0.5693519079,0.4168514412,0.6266666667,72581,112,263,188,3,"['NXPH4', 'NR4A2', 'SEMA3E']",0.1751310974,"['NXPH4', 'KRT17', 'MDFIC', 'NR4A2', 'SEMA3D', 'SEMA3E', 'ZFHX3', 'HPCAL1', 'B3GALT2', 'MT-ND5']",7n00its1qgyd
48,L6b_6,3376,0.5703883495,0.282,0.7663043478,72601,43,359,141,3,"['PCOLCE2', 'FAM160A1', 'SULF1']",0.08703772724,"['PCOLCE2', 'ADD3-AS1', 'FAM160A1', 'SULF1', 'CCBE1', 'ZBTB7C', 'SEC24D', 'SEMA3A', 'HTR4', 'ANO3']",1377xktx84gy
49,Lamp5 Lhx6_1,15120,0.8216783217,0.564,0.9276315789,72622,22,218,282,2,"['CHST9', 'LAMP5']",0.2223288119,"['SFTA3_ENSG00000229415', 'SFRP1', 'CHST9', 'CA8', 'PDGFD', 'LAMP5', 'HCRTR2', 'EYA4', 'NTNG1', 'ITGA8']",chweihpgjb5k
