,external_gene_name,ensembl_gene_id,entrezgene_id
445,5_8S_rRNA,ENSG00000273730,124908381
446,5_8S_rRNA,ENSG00000273730,124908382
447,5_8S_rRNA,ENSG00000273730,124908383
448,5_8S_rRNA,ENSG00000273730,124908384
449,5_8S_rRNA,ENSG00000273730,124908385
450,5_8S_rRNA,ENSG00000273730,124908386
451,5_8S_rRNA,ENSG00000273730,124908387
452,5_8S_rRNA,ENSG00000273730,124908388
453,5_8S_rRNA,ENSG00000273730,124908389
454,5_8S_rRNA,ENSG00000273730,124908390
455,5_8S_rRNA,ENSG00000273730,124908391
456,5_8S_rRNA,ENSG00000273730,124908392
457,5_8S_rRNA,ENSG00000273730,124908393
458,5_8S_rRNA,ENSG00000273730,124908474
459,5_8S_rRNA,ENSG00000273730,124908494
460,5_8S_rRNA,ENSG00000273730,124908504
461,5_8S_rRNA,ENSG00000273730,124908512
462,5_8S_rRNA,ENSG00000273730,124908513
463,5_8S_rRNA,ENSG00000273730,124908514
464,5_8S_rRNA,ENSG00000273730,124908515
465,5_8S_rRNA,ENSG00000273730,124908516
466,5_8S_rRNA,ENSG00000273730,124908517
467,5_8S_rRNA,ENSG00000273730,124908518
468,5_8S_rRNA,ENSG00000273730,124908519
469,5_8S_rRNA,ENSG00000273730,124908520
470,5_8S_rRNA,ENSG00000273730,124908521
471,5_8S_rRNA,ENSG00000273730,124908522
472,5_8S_rRNA,ENSG00000273730,124908523
473,5_8S_rRNA,ENSG00000273730,124908524
474,5_8S_rRNA,ENSG00000273730,124908525
475,5_8S_rRNA,ENSG00000273730,124908527
500,U6,ENSG00000278793,124905313
527,U1,ENSG00000275405,124904613
528,U1,ENSG00000275405,124905321
529,U1,ENSG00000275405,124905573
530,U1,ENSG00000275405,124905809
537,MAFIP,ENSG00000274847,727764
569,RNA5-8SN4,ENSG00000276700,109864274
570,RNA5-8SN4,ENSG00000276700,124907114
571,RNA5-8SN4,ENSG00000276700,124907115
572,RNA5-8SN4,ENSG00000276700,124907116
573,RNA5-8SN4,ENSG00000276700,124907117
574,RNA5-8SN4,ENSG00000276700,124907118
575,RNA5-8SN4,ENSG00000276700,124907119
576,RNA5-8SN4,ENSG00000276700,124907120
577,RNA5-8SN4,ENSG00000276700,124907121
578,RNA5-8SN4,ENSG00000276700,124907122
579,RNA5-8SN4,ENSG00000276700,124907123
580,RNA5-8SN4,ENSG00000276700,124907124
581,RNA5-8SN4,ENSG00000276700,124907125
582,RNA5-8SN4,ENSG00000276700,124907126
583,RNA5-8SN4,ENSG00000276700,124907127
584,RNA5-8SN4,ENSG00000276700,124907128
585,RNA5-8SN4,ENSG00000276700,124907129
586,RNA5-8SN4,ENSG00000276700,124907130
587,RNA5-8SN4,ENSG00000276700,124907131
588,RNA5-8SN4,ENSG00000276700,124907132
589,RNA5-8SN4,ENSG00000276700,124907133
590,RNA5-8SN4,ENSG00000276700,124907134
591,RNA5-8SN4,ENSG00000276700,124907135
592,RNA5-8SN4,ENSG00000276700,124907136
593,RNA5-8SN4,ENSG00000276700,124907137
594,RNA5-8SN4,ENSG00000276700,124907138
595,RNA5-8SN4,ENSG00000276700,124907139
596,RNA5-8SN4,ENSG00000276700,124907140
597,RNA5-8SN4,ENSG00000276700,124907141
598,RNA5-8SN4,ENSG00000276700,124907142
599,RNA5-8SN4,ENSG00000276700,124907143
600,RNA5-8SN4,ENSG00000276700,124907144
601,RNA5-8SN4,ENSG00000276700,124907145
602,RNA5-8SN4,ENSG00000276700,124907146
603,RNA5-8SN4,ENSG00000276700,124907147
604,RNA5-8SN4,ENSG00000276700,124907148
605,RNA5-8SN4,ENSG00000276700,124907149
606,RNA5-8SN4,ENSG00000276700,124907150
607,RNA5-8SN4,ENSG00000276700,124907151
608,RNA5-8SN4,ENSG00000276700,124907152
609,RNA5-8SN4,ENSG00000276700,124907153
610,RNA5-8SN4,ENSG00000276700,124907154
611,RNA5-8SN4,ENSG00000276700,124907155
612,RNA5-8SN4,ENSG00000276700,124907160
613,RNA5-8SN4,ENSG00000276700,124907172
614,RNA5-8SN4,ENSG00000276700,124907183
615,RNA5-8SN4,ENSG00000276700,124907194
616,RNA5-8SN4,ENSG00000276700,124907205
617,RNA5-8SN4,ENSG00000276700,124907216
618,RNA5-8SN4,ENSG00000276700,124907227
619,RNA5-8SN4,ENSG00000276700,124907238
620,RNA5-8SN4,ENSG00000276700,124907248
621,RNA5-8SN4,ENSG00000276700,124907258
622,RNA5-8SN4,ENSG00000276700,124907269
623,RNA5-8SN4,ENSG00000276700,124907280
624,RNA5-8SN4,ENSG00000276700,124907291
625,RNA5-8SN4,ENSG00000276700,124907302
626,RNA5-8SN4,ENSG00000276700,124907313
627,RNA5-8SN4,ENSG00000276700,124907324
628,RNA5-8SN4,ENSG00000276700,124907327
629,RNA5-8SN4,ENSG00000276700,124907328
630,RNA5-8SN4,ENSG00000276700,124907329
631,RNA5-8SN4,ENSG00000276700,124907330
632,RNA5-8SN4,ENSG00000276700,124907331
633,RNA5-8SN4,ENSG00000276700,124907332
634,RNA5-8SN4,ENSG00000276700,124907333
635,RNA5-8SN4,ENSG00000276700,124907334
636,RNA5-8SN4,ENSG00000276700,124907335
637,RNA5-8SN4,ENSG00000276700,124907336
638,RNA5-8SN4,ENSG00000276700,124907337
639,RNA5-8SN4,ENSG00000276700,124907338
640,RNA5-8SN4,ENSG00000276700,124907339
641,RNA5-8SN4,ENSG00000276700,124907340
642,RNA5-8SN4,ENSG00000276700,124907341
643,RNA5-8SN4,ENSG00000276700,124907342
644,RNA5-8SN4,ENSG00000276700,124907343
645,RNA5-8SN4,ENSG00000276700,124907439
646,RNA5-8SN4,ENSG00000276700,124907440
647,RNA5-8SN4,ENSG00000276700,124907450
648,RNA5-8SN4,ENSG00000276700,124907458
649,RNA5-8SN4,ENSG00000276700,124907467
650,RNA5-8SN4,ENSG00000276700,124907475
651,RNA5-8SN4,ENSG00000276700,124907476
652,RNA5-8SN4,ENSG00000276700,124907477
653,RNA5-8SN4,ENSG00000276700,124907478
654,RNA5-8SN4,ENSG00000276700,124907479
655,RNA5-8SN4,ENSG00000276700,124907480
656,RNA5-8SN4,ENSG00000276700,124907481
657,RNA5-8SN4,ENSG00000276700,124907482
658,RNA5-8SN4,ENSG00000276700,124907483
659,RNA5-8SN4,ENSG00000276700,124907484
660,RNA5-8SN4,ENSG00000276700,124907572
661,RNA5-8SN4,ENSG00000276700,124907573
662,RNA5-8SN4,ENSG00000276700,124907574
663,RNA5-8SN4,ENSG00000276700,124907575
664,RNA5-8SN4,ENSG00000276700,124907576
665,RNA5-8SN4,ENSG00000276700,124907577
666,RNA5-8SN4,ENSG00000276700,124907578
667,RNA5-8SN4,ENSG00000276700,124907579
668,RNA5-8SN4,ENSG00000276700,124907580
669,RNA5-8SN4,ENSG00000276700,124907581
670,RNA5-8SN4,ENSG00000276700,124907584
671,RNA5-8SN4,ENSG00000276700,124907585
672,RNA5-8SN4,ENSG00000276700,124907586
673,RNA5-8SN4,ENSG00000276700,124907587
674,RNA5-8SN4,ENSG00000276700,124907588
675,RNA5-8SN4,ENSG00000276700,124907589
676,RNA5-8SN4,ENSG00000276700,124907590
677,RNA5-8SN4,ENSG00000276700,124907591
678,RNA5-8SN4,ENSG00000276700,124907592
679,RNA5-8SN4,ENSG00000276700,124907593
680,RNA5-8SN4,ENSG00000276700,124907594
681,RNA5-8SN4,ENSG00000276700,124907595
682,RNA5-8SN4,ENSG00000276700,124907596
683,RNA5-8SN4,ENSG00000276700,124907597
684,RNA5-8SN4,ENSG00000276700,124907598
685,RNA5-8SN4,ENSG00000276700,124907600
686,RNA5-8SN4,ENSG00000276700,124907611
687,RNA5-8SN4,ENSG00000276700,124907622
688,RNA5-8SN4,ENSG00000276700,124907633
